;DayOfWeek;POS Total Units Sold Promo and Regular;Encoded_REST_KEY
325;Monday;120;Store1
326;Monday;131;Store2
327;Monday;77;Store3
328;Monday;117;Store4
329;Tuesday;99;Store1
330;Tuesday;95;Store2
331;Tuesday;94;Store3
332;Tuesday;121;Store4
333;Wednesday;169;Store1
334;Wednesday;166;Store2
335;Wednesday;92;Store3
336;Wednesday;106;Store4
337;Thursday;174;Store1
338;Thursday;109;Store2
339;Thursday;115;Store3
340;Thursday;99;Store4
341;Friday;124;Store1
342;Friday;111;Store2
343;Friday;128;Store3
344;Friday;113;Store4
345;Saturday;161;Store1
346;Saturday;74;Store2
347;Saturday;92;Store3
348;Saturday;125;Store4
349;Sunday;105;Store1
350;Sunday;39;Store2
351;Sunday;70;Store3
352;Sunday;82;Store4
353;Monday;140;Store1
354;Monday;109;Store2
355;Monday;98;Store3
356;Monday;111;Store4
357;Tuesday;92;Store1
358;Tuesday;142;Store2
359;Tuesday;98;Store3
360;Tuesday;105;Store4
361;Wednesday;113;Store1
362;Wednesday;113;Store2
363;Wednesday;101;Store3
364;Wednesday;104;Store4
365;Thursday;157;Store1
366;Thursday;138;Store2
367;Thursday;102;Store3
368;Thursday;121;Store4
369;Friday;156;Store1
370;Friday;120;Store2
371;Friday;123;Store3
372;Friday;136;Store4
373;Saturday;119;Store1
374;Saturday;79;Store2
375;Saturday;76;Store3
376;Saturday;142;Store4
377;Sunday;106;Store1
378;Sunday;75;Store2
379;Sunday;107;Store3
380;Sunday;102;Store4
381;Monday;132;Store1
382;Monday;102;Store2
383;Monday;117;Store3
384;Monday;110;Store4
385;Monday;144;Store1
386;Monday;61;Store2
387;Monday;112;Store3
388;Monday;133;Store4
389;Saturday;121;Store1
390;Saturday;114;Store2
391;Saturday;106;Store3
392;Saturday;113;Store4
393;Sunday;123;Store1
394;Sunday;119;Store2
395;Sunday;110;Store3
396;Sunday;103;Store4
397;Monday;165;Store1
398;Monday;155;Store2
399;Monday;113;Store3
400;Monday;160;Store4
401;Tuesday;130;Store1
402;Tuesday;149;Store2
403;Tuesday;120;Store3
404;Tuesday;131;Store4
405;Wednesday;134;Store1
406;Wednesday;169;Store2
407;Wednesday;127;Store3
408;Wednesday;127;Store4
409;Thursday;158;Store1
410;Thursday;170;Store2
411;Thursday;147;Store3
412;Thursday;159;Store4
413;Friday;158;Store1
414;Friday;78;Store2
415;Friday;91;Store3
416;Friday;177;Store4
417;Saturday;99;Store1
418;Saturday;57;Store2
419;Saturday;56;Store3
420;Saturday;108;Store4
421;Sunday;116;Store1
422;Sunday;152;Store2
423;Sunday;111;Store3
424;Sunday;159;Store4
425;Monday;128;Store1
426;Monday;174;Store2
427;Monday;107;Store3
428;Monday;123;Store4
429;Tuesday;100;Store1
430;Tuesday;203;Store2
431;Tuesday;79;Store3
432;Tuesday;150;Store4
433;Wednesday;130;Store1
434;Wednesday;151;Store2
435;Wednesday;96;Store3
436;Wednesday;153;Store4
437;Thursday;162;Store1
438;Thursday;141;Store2
439;Thursday;147;Store3
440;Thursday;142;Store4
441;Friday;158;Store1
442;Friday;114;Store2
443;Friday;86;Store3
444;Friday;169;Store4
445;Saturday;117;Store1
446;Saturday;96;Store2
447;Saturday;94;Store3
448;Saturday;125;Store4
449;Sunday;104;Store1
450;Sunday;138;Store2
451;Sunday;96;Store3
452;Sunday;110;Store4
453;Monday;174;Store1
454;Monday;151;Store2
455;Monday;139;Store3
456;Monday;131;Store4
457;Tuesday;132;Store1
458;Tuesday;116;Store2
459;Tuesday;135;Store3
460;Tuesday;166;Store4
461;Wednesday;133;Store1
462;Wednesday;169;Store2
463;Wednesday;87;Store3
464;Wednesday;119;Store4
465;Thursday;150;Store1
466;Thursday;155;Store2
467;Thursday;140;Store3
468;Thursday;146;Store4
469;Friday;162;Store1
470;Friday;99;Store2
471;Friday;86;Store3
472;Friday;167;Store4
473;Saturday;110;Store1
474;Saturday;73;Store2
475;Saturday;116;Store4
476;Sunday;125;Store1
477;Sunday;88;Store3
478;Sunday;146;Store4
479;Monday;188;Store1
480;Monday;153;Store2
481;Monday;139;Store3
482;Monday;144;Store4
483;Tuesday;132;Store1
484;Tuesday;118;Store2
485;Tuesday;119;Store3
486;Tuesday;115;Store4
487;Wednesday;150;Store1
488;Wednesday;173;Store2
489;Wednesday;124;Store3
490;Wednesday;181;Store4
491;Thursday;203;Store1
492;Thursday;179;Store2
493;Thursday;142;Store3
494;Thursday;165;Store4
495;Friday;155;Store1
496;Friday;103;Store2
497;Friday;94;Store3
498;Friday;164;Store4
499;Saturday;107;Store1
500;Saturday;90;Store2
501;Saturday;92;Store3
502;Saturday;141;Store4
503;Sunday;127;Store1
504;Sunday;134;Store2
505;Sunday;123;Store3
506;Sunday;113;Store4
507;Saturday;100;Store1
508;Saturday;49;Store2
509;Saturday;95;Store3
510;Saturday;42;Store4
511;Sunday;66;Store1
512;Sunday;58;Store2
513;Sunday;65;Store3
514;Sunday;59;Store4
515;Monday;76;Store1
516;Monday;75;Store2
517;Monday;91;Store3
518;Monday;72;Store4
519;Tuesday;81;Store1
520;Tuesday;99;Store2
521;Tuesday;91;Store3
522;Tuesday;79;Store4
523;Wednesday;99;Store1
524;Wednesday;105;Store2
525;Wednesday;88;Store3
526;Wednesday;69;Store4
527;Thursday;108;Store1
528;Thursday;111;Store2
529;Thursday;116;Store3
530;Thursday;88;Store4
531;Friday;103;Store1
532;Friday;114;Store2
533;Friday;94;Store3
534;Friday;78;Store4
535;Saturday;100;Store1
536;Saturday;60;Store2
537;Saturday;76;Store3
538;Saturday;101;Store4
539;Sunday;84;Store1
540;Sunday;46;Store2
541;Sunday;63;Store3
542;Sunday;53;Store4
543;Monday;59;Store1
544;Monday;101;Store2
545;Monday;78;Store3
546;Monday;72;Store4
547;Tuesday;105;Store1
548;Tuesday;76;Store2
549;Tuesday;108;Store3
550;Tuesday;71;Store4
551;Wednesday;84;Store1
552;Wednesday;76;Store2
553;Wednesday;97;Store3
554;Wednesday;93;Store4
555;Thursday;97;Store1
556;Thursday;77;Store2
557;Thursday;75;Store3
558;Thursday;76;Store4
559;Friday;78;Store1
560;Friday;98;Store2
561;Friday;101;Store3
562;Friday;89;Store4
563;Saturday;79;Store1
564;Saturday;61;Store2
565;Saturday;81;Store3
566;Saturday;73;Store4
567;Sunday;48;Store1
568;Sunday;37;Store2
569;Sunday;67;Store3
570;Sunday;73;Store4
571;Monday;95;Store1
572;Monday;83;Store2
573;Monday;79;Store3
574;Monday;89;Store4
575;Tuesday;43;Store1
