;DayOfWeek;POS Total Units Sold Promo and Regular;Encoded_REST_KEY
2056;Monday;3;Store3
2057;Monday;3;Store4
2058;Tuesday;4;Store2
2059;Tuesday;4;Store3
2060;Tuesday;4;Store4
2061;Wednesday;5;Store1
2062;Wednesday;2;Store2
2063;Wednesday;1;Store3
2064;Wednesday;3;Store4
2065;Thursday;3;Store1
2066;Thursday;7;Store2
2067;Thursday;6;Store3
2068;Thursday;2;Store4
2069;Friday;7;Store1
2070;Friday;5;Store2
2071;Friday;7;Store3
2072;Friday;4;Store4
2073;Saturday;12;Store1
2074;Saturday;5;Store2
2075;Saturday;8;Store4
2076;Sunday;1;Store1
2077;Sunday;2;Store3
2078;Sunday;1;Store4
2079;Monday;4;Store2
2080;Monday;4;Store3
2081;Monday;1;Store4
2082;Tuesday;1;Store1
2083;Tuesday;4;Store2
2084;Tuesday;2;Store3
2085;Tuesday;1;Store4
2086;Wednesday;4;Store1
2087;Wednesday;4;Store2
2088;Wednesday;2;Store3
2089;Wednesday;2;Store4
2090;Thursday;4;Store1
2091;Thursday;6;Store2
2092;Thursday;5;Store3
2093;Friday;4;Store1
2094;Friday;7;Store2
2095;Friday;15;Store3
2096;Friday;4;Store4
2097;Saturday;3;Store1
2098;Saturday;3;Store2
2099;Saturday;4;Store3
2100;Saturday;5;Store4
2101;Sunday;4;Store1
2102;Sunday;7;Store2
2103;Sunday;3;Store3
2104;Saturday;2;Store1
2105;Saturday;1;Store2
2106;Saturday;6;Store3
2107;Saturday;2;Store4
2108;Sunday;1;Store4
2109;Monday;2;Store1
2110;Monday;1;Store2
2111;Monday;1;Store3
2112;Tuesday;2;Store2
2113;Tuesday;1;Store4
2114;Wednesday;2;Store1
2115;Wednesday;1;Store2
2116;Wednesday;7;Store3
2117;Wednesday;1;Store4
2118;Thursday;5;Store1
2119;Thursday;4;Store2
2120;Thursday;1;Store3
2121;Thursday;2;Store4
2122;Friday;2;Store1
2123;Friday;3;Store2
2124;Friday;1;Store4
2125;Saturday;2;Store1
2126;Saturday;1;Store2
2127;Saturday;2;Store3
2128;Saturday;2;Store4
2129;Sunday;2;Store1
2130;Sunday;1;Store2
2131;Sunday;3;Store3
2132;Sunday;2;Store4
2133;Monday;2;Store1
2134;Monday;4;Store2
2135;Monday;4;Store4
2136;Tuesday;3;Store1
2137;Tuesday;4;Store2
2138;Tuesday;3;Store3
2139;Wednesday;3;Store1
2140;Wednesday;1;Store2
2141;Wednesday;2;Store3
2142;Wednesday;3;Store4
2143;Thursday;1;Store1
2144;Thursday;1;Store2
2145;Thursday;3;Store3
2146;Thursday;6;Store4
2147;Friday;1;Store1
2148;Friday;2;Store2
2149;Friday;3;Store3
2150;Friday;2;Store4
2151;Saturday;1;Store1
2152;Saturday;2;Store3
2153;Saturday;3;Store4
2154;Sunday;2;Store1
2155;Sunday;4;Store4
2156;Monday;2;Store2
2157;Monday;1;Store3
2158;Monday;2;Store4
2159;Tuesday;2;Store2
2160;Tuesday;1;Store3
2161;Tuesday;2;Store4
2162;Wednesday;1;Store1
2163;Wednesday;3;Store2
2164;Wednesday;2;Store3
2165;Thursday;1;Store1
2166;Thursday;5;Store2
2167;Thursday;1;Store3
2168;Thursday;2;Store4
2169;Friday;1;Store1
2170;Friday;1;Store2
2171;Friday;1;Store3
2172;Friday;3;Store4
2173;Saturday;1;Store1
2174;Saturday;3;Store3
2175;Sunday;3;Store1
2176;Sunday;1;Store3
2177;Sunday;1;Store4
2178;Monday;1;Store1
2179;Monday;4;Store2
2180;Monday;1;Store3
2181;Monday;1;Store4
2182;Tuesday;3;Store2
2183;Tuesday;1;Store3
2184;Tuesday;1;Store4
2185;Thursday;2;Store1
2186;Thursday;2;Store2
2187;Thursday;1;Store3
2188;Friday;1;Store1
2189;Friday;4;Store3
2190;Friday;1;Store4
2191;Saturday;1;Store1
2192;Saturday;1;Store2
2193;Saturday;2;Store4
2194;Sunday;3;Store1
2195;Sunday;1;Store4
2196;Monday;1;Store1
2197;Monday;1;Store2
2198;Monday;3;Store3
2199;Monday;1;Store4
2200;Monday;3;Store1
2201;Monday;1;Store4
2202;Saturday;4;Store1
2203;Saturday;1;Store3
2204;Sunday;1;Store1
2205;Sunday;1;Store4
2206;Monday;3;Store1
2207;Monday;3;Store2
2208;Monday;1;Store3
2209;Tuesday;2;Store3
2210;Tuesday;1;Store4
2211;Wednesday;5;Store1
2212;Wednesday;1;Store2
2213;Wednesday;3;Store3
2214;Wednesday;3;Store4
2215;Thursday;1;Store1
2216;Thursday;4;Store2
2217;Thursday;2;Store3
2218;Thursday;2;Store4
2219;Friday;2;Store1
2220;Friday;3;Store2
2221;Friday;1;Store3
2222;Friday;1;Store4
2223;Saturday;2;Store1
2224;Saturday;1;Store2
2225;Sunday;2;Store1
2226;Sunday;2;Store3
2227;Monday;3;Store1
2228;Tuesday;3;Store1
2229;Tuesday;1;Store2
2230;Tuesday;1;Store3
2231;Wednesday;1;Store1
2232;Wednesday;3;Store2
2233;Wednesday;1;Store4
2234;Thursday;5;Store1
2235;Thursday;1;Store3
2236;Thursday;1;Store4
2237;Friday;1;Store1
2238;Friday;3;Store2
2239;Friday;1;Store3
2240;Friday;2;Store4
2241;Saturday;1;Store3
2242;Saturday;1;Store4
2243;Sunday;2;Store1
2244;Sunday;3;Store2
2245;Monday;2;Store1
2246;Monday;1;Store4
2247;Tuesday;2;Store1
2248;Tuesday;2;Store4
2249;Wednesday;6;Store1
2250;Thursday;5;Store1
2251;Thursday;1;Store4
2252;Friday;3;Store1
2253;Friday;1;Store2
2254;Friday;1;Store4
2255;Saturday;1;Store1
2256;Saturday;1;Store2
2257;Sunday;1;Store3
2258;Monday;1;Store1
2259;Monday;1;Store2
2260;Tuesday;2;Store1
2261;Tuesday;1;Store4
2262;Wednesday;2;Store1
2263;Wednesday;1;Store2
2264;Wednesday;1;Store4
2265;Thursday;5;Store1
2266;Thursday;2;Store2
2267;Thursday;1;Store3
2268;Thursday;1;Store4
2269;Friday;1;Store1
2270;Friday;1;Store2
2271;Friday;3;Store3
2272;Friday;1;Store4
2273;Saturday;1;Store2
2274;Sunday;2;Store4
2275;Saturday;1;Store2
2276;Sunday;3;Store2
2277;Sunday;1;Store3
2278;Monday;1;Store3
2279;Tuesday;1;Store3
2280;Wednesday;1;Store3
2281;Thursday;1;Store1
2282;Friday;2;Store1
2283;Saturday;2;Store1
2284;Sunday;1;Store1
2285;Monday;2;Store1
2286;Monday;2;Store2
2287;Friday;2;Store1
2288;Saturday;2;Store1
2289;Saturday;1;Store2
2290;Sunday;1;Store2
2291;Monday;1;Store3
2292;Tuesday;1;Store1
2293;Thursday;1;Store1
2294;Thursday;1;Store2
2295;Friday;2;Store1
2296;Saturday;2;Store1
2297;Sunday;1;Store2
2298;Monday;2;Store1
2299;Monday;1;Store3
2300;Tuesday;2;Store1
2301;Wednesday;1;Store3
2302;Thursday;1;Store2
2303;Thursday;1;Store3
2304;Thursday;1;Store4
2305;Friday;1;Store1
2306;Friday;1;Store4
2307;Saturday;1;Store3
2308;Sunday;1;Store3
2309;Monday;1;Store2
2310;Monday;1;Store1
2311;Sunday;1;Store4
2312;Wednesday;1;Store2
2313;Friday;1;Store1
2314;Friday;4;Store4
2315;Saturday;1;Store3
2316;Saturday;1;Store4
2317;Sunday;1;Store1
2318;Monday;1;Store3
2319;Thursday;1;Store3
2320;Friday;2;Store1
2321;Saturday;1;Store2
2322;Sunday;1;Store4
2323;Tuesday;2;Store1
2324;Tuesday;1;Store2
2325;Wednesday;3;Store2
2326;Thursday;2;Store2
2327;Thursday;2;Store3
2328;Sunday;1;Store4
2329;Monday;1;Store4
2330;Tuesday;1;Store3
2331;Wednesday;1;Store3
2332;Wednesday;1;Store4
2333;Thursday;3;Store2
2334;Thursday;1;Store4
2335;Friday;1;Store4
2336;Saturday;1;Store4
2337;Sunday;2;Store2
2338;Sunday;2;Store4
2339;Saturday;121;Store1
2340;Saturday;98;Store2
2341;Saturday;93;Store3
2342;Saturday;90;Store4
2343;Sunday;133;Store1
2344;Sunday;100;Store2
2345;Sunday;62;Store3
2346;Sunday;77;Store4
2347;Monday;110;Store1
2348;Monday;146;Store2
2349;Monday;124;Store3
2350;Monday;94;Store4
2351;Tuesday;108;Store1
2352;Tuesday;152;Store2
2353;Tuesday;100;Store3
2354;Tuesday;92;Store4
2355;Wednesday;116;Store1
2356;Wednesday;174;Store2
2357;Wednesday;109;Store3
2358;Wednesday;76;Store4
2359;Thursday;116;Store1
2360;Thursday;163;Store2
2361;Thursday;175;Store3
2362;Thursday;50;Store4
2363;Friday;136;Store1
2364;Friday;205;Store2
2365;Friday;115;Store3
2366;Friday;117;Store4
2367;Saturday;159;Store1
2368;Saturday;150;Store2
2369;Saturday;117;Store3
2370;Saturday;119;Store4
2371;Sunday;126;Store1
2372;Sunday;81;Store2
2373;Sunday;68;Store3
2374;Sunday;68;Store4
2375;Monday;74;Store1
2376;Monday;152;Store2
2377;Monday;125;Store3
2378;Monday;71;Store4
2379;Tuesday;87;Store1
2380;Tuesday;150;Store2
2381;Tuesday;95;Store3
2382;Tuesday;76;Store4
2383;Wednesday;93;Store1
2384;Wednesday;164;Store2
2385;Wednesday;133;Store3
2386;Wednesday;62;Store4
2387;Thursday;99;Store1
2388;Thursday;197;Store2
2389;Thursday;116;Store3
2390;Thursday;80;Store4
2391;Friday;131;Store1
2392;Friday;182;Store2
2393;Friday;110;Store3
2394;Friday;100;Store4
2395;Saturday;175;Store1
2396;Saturday;162;Store2
2397;Saturday;102;Store3
2398;Saturday;112;Store4
2399;Sunday;130;Store1
2400;Sunday;65;Store2
2401;Sunday;76;Store3
2402;Sunday;111;Store4
2403;Monday;75;Store1
2404;Monday;119;Store2
2405;Monday;79;Store3
2406;Monday;60;Store4
2407;Tuesday;95;Store1
2408;Tuesday;147;Store2
2409;Tuesday;88;Store3
2410;Tuesday;58;Store4
2411;Wednesday;103;Store1
2412;Wednesday;163;Store2
2413;Wednesday;115;Store3
2414;Wednesday;53;Store4
2415;Thursday;84;Store1
2416;Thursday;192;Store2
2417;Thursday;107;Store3
2418;Thursday;78;Store4
2419;Friday;112;Store1
2420;Friday;165;Store2
2421;Friday;119;Store3
2422;Friday;84;Store4
2423;Saturday;190;Store1
2424;Saturday;183;Store2
2425;Saturday;135;Store3
2426;Saturday;118;Store4
2427;Sunday;133;Store1
2428;Sunday;110;Store2
2429;Sunday;85;Store3
2430;Sunday;108;Store4
2431;Monday;96;Store1
2432;Monday;144;Store2
2433;Monday;102;Store3
2434;Monday;69;Store4
2435;Tuesday;91;Store1
2436;Tuesday;161;Store2
2437;Tuesday;105;Store3
2438;Tuesday;92;Store4
2439;Wednesday;126;Store1
2440;Wednesday;177;Store2
2441;Wednesday;114;Store3
2442;Wednesday;82;Store4
2443;Thursday;87;Store1
2444;Thursday;182;Store2
2445;Thursday;117;Store3
2446;Thursday;83;Store4
2447;Friday;117;Store1
2448;Friday;217;Store2
2449;Friday;148;Store3
2450;Friday;72;Store4
2451;Saturday;170;Store1
2452;Saturday;171;Store2
2453;Saturday;139;Store3
2454;Saturday;157;Store4
2455;Sunday;134;Store1
2456;Sunday;71;Store2
2457;Sunday;82;Store3
2458;Sunday;97;Store4
2459;Monday;104;Store1
2460;Monday;156;Store2
2461;Monday;100;Store3
2462;Monday;66;Store4
2463;Monday;94;Store1
2464;Monday;87;Store4
2465;Saturday;92;Store1
2466;Saturday;94;Store2
2467;Saturday;77;Store3
2468;Saturday;84;Store4
2469;Sunday;98;Store1
2470;Sunday;165;Store2
2471;Sunday;110;Store3
2472;Sunday;82;Store4
2473;Monday;111;Store1
2474;Monday;146;Store2
2475;Monday;80;Store3
2476;Monday;120;Store4
2477;Tuesday;81;Store1
2478;Tuesday;168;Store2
2479;Tuesday;116;Store3
2480;Tuesday;110;Store4
2481;Wednesday;126;Store1
2482;Wednesday;160;Store2
2483;Wednesday;109;Store3
2484;Wednesday;72;Store4
2485;Thursday;113;Store1
2486;Thursday;191;Store2
2487;Thursday;132;Store3
2488;Thursday;98;Store4
2489;Friday;155;Store1
2490;Friday;146;Store2
2491;Friday;124;Store3
2492;Friday;137;Store4
2493;Saturday;134;Store1
2494;Saturday;89;Store2
2495;Saturday;96;Store3
2496;Saturday;87;Store4
2497;Sunday;97;Store1
2498;Sunday;137;Store2
2499;Sunday;100;Store3
2500;Sunday;85;Store4
2501;Monday;101;Store1
2502;Monday;151;Store2
2503;Monday;110;Store3
2504;Monday;99;Store4
2505;Tuesday;82;Store1
2506;Tuesday;188;Store2
2507;Tuesday;111;Store3
2508;Tuesday;82;Store4
2509;Wednesday;105;Store1
2510;Wednesday;176;Store2
2511;Wednesday;103;Store3
2512;Wednesday;83;Store4
2513;Thursday;92;Store1
2514;Thursday;181;Store2
2515;Thursday;102;Store3
2516;Thursday;92;Store4
2517;Friday;144;Store1
2518;Friday;130;Store2
2519;Friday;108;Store3
2520;Friday;159;Store4
2521;Saturday;128;Store1
2522;Saturday;83;Store2
2523;Saturday;75;Store3
2524;Saturday;120;Store4
2525;Sunday;63;Store1
2526;Sunday;136;Store2
2527;Sunday;73;Store3
2528;Sunday;56;Store4
2529;Monday;102;Store1
2530;Monday;142;Store2
2531;Monday;103;Store3
2532;Monday;82;Store4
2533;Tuesday;90;Store1
2534;Tuesday;152;Store2
2535;Tuesday;105;Store3
2536;Tuesday;78;Store4
2537;Wednesday;99;Store1
2538;Wednesday;179;Store2
2539;Wednesday;94;Store3
2540;Wednesday;101;Store4
2541;Thursday;111;Store1
2542;Thursday;196;Store2
2543;Thursday;137;Store3
2544;Thursday;101;Store4
2545;Friday;151;Store1
2546;Friday;143;Store2
2547;Friday;133;Store3
2548;Friday;114;Store4
2549;Saturday;117;Store1
2550;Saturday;81;Store2
2551;Saturday;108;Store4
2552;Sunday;71;Store1
2553;Sunday;79;Store3
2554;Sunday;57;Store4
2555;Monday;82;Store1
2556;Monday;122;Store2
2557;Monday;120;Store3
2558;Monday;90;Store4
2559;Tuesday;93;Store1
2560;Tuesday;174;Store2
2561;Tuesday;94;Store3
2562;Tuesday;97;Store4
2563;Wednesday;91;Store1
2564;Wednesday;181;Store2
2565;Wednesday;114;Store3
2566;Wednesday;89;Store4
2567;Thursday;121;Store1
2568;Thursday;189;Store2
2569;Thursday;139;Store3
2570;Thursday;107;Store4
2571;Friday;177;Store1
2572;Friday;154;Store2
2573;Friday;149;Store3
2574;Friday;139;Store4
2575;Saturday;107;Store1
2576;Saturday;87;Store2
2577;Saturday;73;Store3
2578;Saturday;97;Store4
2579;Sunday;98;Store1
2580;Sunday;154;Store2
2581;Sunday;90;Store3
2582;Sunday;81;Store4
2583;Saturday;62;Store1
2584;Saturday;37;Store2
2585;Saturday;30;Store3
2586;Saturday;32;Store4
2587;Sunday;39;Store1
2588;Sunday;21;Store2
2589;Sunday;16;Store3
2590;Sunday;19;Store4
2591;Monday;44;Store1
2592;Monday;47;Store2
2593;Monday;14;Store3
2594;Monday;30;Store4
2595;Tuesday;45;Store1
2596;Tuesday;42;Store2
2597;Tuesday;32;Store3
2598;Tuesday;28;Store4
2599;Wednesday;39;Store1
2600;Wednesday;45;Store2
2601;Wednesday;30;Store3
2602;Wednesday;36;Store4
2603;Thursday;30;Store1
2604;Thursday;56;Store2
2605;Thursday;32;Store3
2606;Thursday;22;Store4
2607;Friday;43;Store1
2608;Friday;36;Store2
2609;Friday;34;Store3
2610;Friday;39;Store4
2611;Saturday;49;Store1
2612;Saturday;36;Store2
2613;Saturday;19;Store3
2614;Saturday;46;Store4
2615;Sunday;36;Store1
2616;Sunday;16;Store2
2617;Sunday;5;Store3
2618;Sunday;19;Store4
2619;Monday;32;Store1
2620;Monday;30;Store2
2621;Monday;14;Store3
2622;Monday;22;Store4
2623;Tuesday;30;Store1
2624;Tuesday;36;Store2
2625;Tuesday;18;Store3
2626;Tuesday;25;Store4
2627;Wednesday;24;Store1
2628;Wednesday;49;Store2
2629;Wednesday;24;Store3
2630;Wednesday;37;Store4
2631;Thursday;32;Store1
2632;Thursday;51;Store2
2633;Thursday;22;Store3
2634;Thursday;24;Store4
2635;Friday;40;Store1
2636;Friday;48;Store2
2637;Friday;32;Store3
2638;Friday;29;Store4
2639;Saturday;65;Store1
2640;Saturday;41;Store2
2641;Saturday;14;Store3
2642;Saturday;28;Store4
2643;Sunday;46;Store1
2644;Sunday;33;Store2
2645;Sunday;8;Store3
2646;Sunday;24;Store4
2647;Monday;26;Store1
2648;Monday;25;Store2
2649;Monday;13;Store3
2650;Monday;34;Store4
2651;Tuesday;33;Store1
2652;Tuesday;45;Store2
2653;Tuesday;25;Store3
2654;Tuesday;23;Store4
2655;Wednesday;39;Store1
2656;Wednesday;40;Store2
2657;Wednesday;23;Store3
2658;Wednesday;18;Store4
2659;Thursday;38;Store1
2660;Thursday;38;Store2
2661;Thursday;20;Store3
2662;Thursday;22;Store4
2663;Friday;34;Store1
2664;Friday;44;Store2
2665;Friday;21;Store3
2666;Friday;27;Store4
2667;Saturday;69;Store1
2668;Saturday;41;Store2
2669;Saturday;24;Store3
2670;Saturday;31;Store4
2671;Sunday;51;Store1
2672;Sunday;28;Store2
2673;Sunday;20;Store3
2674;Sunday;33;Store4
2675;Monday;27;Store1
2676;Monday;29;Store2
2677;Monday;27;Store3
2678;Monday;25;Store4
2679;Tuesday;27;Store1
2680;Tuesday;43;Store2
2681;Tuesday;25;Store3
2682;Tuesday;26;Store4
2683;Wednesday;44;Store1
2684;Wednesday;45;Store2
2685;Wednesday;30;Store3
2686;Wednesday;19;Store4
2687;Thursday;24;Store1
2688;Thursday;49;Store2
2689;Thursday;19;Store3
2690;Thursday;32;Store4
2691;Friday;39;Store1
2692;Friday;57;Store2
2693;Friday;39;Store3
2694;Friday;19;Store4
2695;Saturday;53;Store1
2696;Saturday;27;Store2
2697;Saturday;26;Store3
2698;Saturday;29;Store4
2699;Sunday;40;Store1
2700;Sunday;14;Store2
2701;Sunday;19;Store3
2702;Sunday;27;Store4
2703;Monday;26;Store1
2704;Monday;31;Store2
2705;Monday;23;Store3
2706;Monday;20;Store4
2707;Monday;30;Store1
2708;Monday;49;Store4
2709;Saturday;26;Store1
2710;Saturday;21;Store2
2711;Saturday;16;Store3
2712;Saturday;33;Store4
2713;Sunday;34;Store1
2714;Sunday;38;Store2
2715;Sunday;23;Store3
2716;Sunday;25;Store4
2717;Monday;36;Store1
2718;Monday;35;Store2
2719;Monday;15;Store3
2720;Monday;37;Store4
2721;Tuesday;21;Store1
2722;Tuesday;44;Store2
2723;Tuesday;26;Store3
2724;Tuesday;28;Store4
2725;Wednesday;39;Store1
2726;Wednesday;40;Store2
2727;Wednesday;33;Store3
2728;Wednesday;28;Store4
2729;Thursday;27;Store1
2730;Thursday;45;Store2
2731;Thursday;26;Store3
2732;Thursday;29;Store4
2733;Friday;55;Store1
2734;Friday;44;Store2
2735;Friday;28;Store3
2736;Friday;55;Store4
2737;Saturday;50;Store1
2738;Saturday;23;Store2
2739;Saturday;13;Store3
2740;Saturday;53;Store4
2741;Sunday;34;Store1
2742;Sunday;40;Store2
2743;Sunday;26;Store3
2744;Sunday;34;Store4
2745;Monday;28;Store1
2746;Monday;41;Store2
2747;Monday;24;Store3
2748;Monday;33;Store4
2749;Tuesday;24;Store1
2750;Tuesday;45;Store2
2751;Tuesday;23;Store3
2752;Tuesday;31;Store4
2753;Wednesday;26;Store1
2754;Wednesday;38;Store2
2755;Wednesday;15;Store3
2756;Wednesday;28;Store4
2757;Thursday;31;Store1
2758;Thursday;49;Store2
2759;Thursday;23;Store3
2760;Thursday;36;Store4
2761;Friday;55;Store1
2762;Friday;27;Store2
2763;Friday;20;Store3
2764;Friday;45;Store4
2765;Saturday;52;Store1
2766;Saturday;15;Store2
2767;Saturday;14;Store3
2768;Saturday;49;Store4
2769;Sunday;32;Store1
2770;Sunday;36;Store2
2771;Sunday;14;Store3
2772;Sunday;22;Store4
2773;Monday;37;Store1
2774;Monday;43;Store2
2775;Monday;18;Store3
2776;Monday;20;Store4
2777;Tuesday;38;Store1
2778;Tuesday;53;Store2
2779;Tuesday;16;Store3
2780;Tuesday;14;Store4
2781;Wednesday;19;Store1
2782;Wednesday;44;Store2
2783;Wednesday;27;Store3
2784;Wednesday;35;Store4
2785;Thursday;45;Store1
2786;Thursday;69;Store2
2787;Thursday;34;Store3
2788;Thursday;37;Store4
2789;Friday;45;Store1
2790;Friday;44;Store2
2791;Friday;31;Store3
2792;Friday;35;Store4
2793;Saturday;29;Store1
2794;Saturday;17;Store2
2795;Saturday;37;Store4
2796;Sunday;26;Store1
2797;Sunday;17;Store3
2798;Sunday;16;Store4
2799;Monday;28;Store1
2800;Monday;43;Store2
2801;Monday;21;Store3
2802;Monday;42;Store4
2803;Tuesday;28;Store1
2804;Tuesday;65;Store2
2805;Tuesday;19;Store3
2806;Tuesday;25;Store4
2807;Wednesday;48;Store1
2808;Wednesday;52;Store2
2809;Wednesday;22;Store3
2810;Wednesday;42;Store4
2811;Thursday;44;Store1
2812;Thursday;41;Store2
2813;Thursday;30;Store3
2814;Thursday;27;Store4
2815;Friday;63;Store1
2816;Friday;46;Store2
2817;Friday;26;Store3
2818;Friday;39;Store4
2819;Saturday;49;Store1
2820;Saturday;21;Store2
2821;Saturday;7;Store3
2822;Saturday;46;Store4
2823;Sunday;29;Store1
2824;Sunday;46;Store2
2825;Sunday;28;Store3
2826;Sunday;32;Store4
2827;Sunday;1;Store4
2828;Tuesday;1;Store4
2829;Wednesday;1;Store1
2830;Thursday;1;Store1
2831;Thursday;1;Store3
2832;Friday;2;Store1
2833;Friday;2;Store4
2834;Sunday;1;Store2
2835;Sunday;1;Store4
2836;Monday;1;Store4
2837;Tuesday;1;Store2
2838;Tuesday;1;Store3
2839;Wednesday;2;Store2
2840;Thursday;1;Store3
2841;Thursday;3;Store4
2842;Friday;2;Store1
2843;Saturday;2;Store1
2844;Saturday;1;Store4
2845;Sunday;1;Store1
2846;Sunday;1;Store4
2847;Monday;2;Store1
2848;Monday;1;Store2
2849;Monday;2;Store4
2850;Tuesday;1;Store2
2851;Tuesday;1;Store4
2852;Wednesday;1;Store2
2853;Wednesday;1;Store3
2854;Thursday;1;Store1
2855;Thursday;1;Store2
2856;Thursday;1;Store3
2857;Thursday;1;Store4
2858;Friday;2;Store1
2859;Friday;1;Store2
2860;Saturday;2;Store1
2861;Sunday;1;Store1
2862;Sunday;1;Store2
2863;Monday;1;Store2
2864;Monday;1;Store3
2865;Monday;1;Store4
2866;Tuesday;2;Store2
2867;Tuesday;1;Store3
2868;Tuesday;1;Store4
2869;Wednesday;3;Store1
2870;Wednesday;2;Store4
2871;Thursday;1;Store1
2872;Thursday;2;Store3
2873;Friday;3;Store1
2874;Friday;3;Store4
2875;Saturday;1;Store3
2876;Sunday;1;Store3
2877;Monday;1;Store1
2878;Monday;1;Store2
2879;Monday;1;Store3
2880;Monday;1;Store1
2881;Monday;1;Store1
2882;Monday;1;Store2
2883;Wednesday;1;Store1
2884;Wednesday;1;Store2
2885;Wednesday;1;Store3
2886;Thursday;4;Store1
2887;Thursday;1;Store2
2888;Thursday;1;Store3
2889;Friday;1;Store2
2890;Friday;1;Store4
2891;Saturday;1;Store1
2892;Sunday;2;Store2
2893;Sunday;1;Store4
2894;Monday;1;Store2
2895;Monday;1;Store4
2896;Tuesday;1;Store2
2897;Wednesday;1;Store2
2898;Thursday;1;Store1
2899;Friday;1;Store2
2900;Friday;1;Store4
2901;Saturday;3;Store1
2902;Saturday;2;Store2
2903;Monday;1;Store2
2904;Monday;1;Store4
2905;Tuesday;1;Store1
2906;Wednesday;2;Store1
2907;Friday;1;Store2
2908;Saturday;1;Store1
2909;Saturday;1;Store2
2910;Saturday;1;Store4
2911;Monday;2;Store1
2912;Monday;1;Store4
2913;Tuesday;1;Store3
2914;Wednesday;2;Store1
2915;Wednesday;1;Store2
2916;Thursday;2;Store2
2917;Friday;1;Store1
2918;Friday;1;Store2
2919;Sunday;1;Store1
2920;Sunday;1;Store3
2921;Sunday;1;Store4
2922;Wednesday;1;Store3
2923;Wednesday;1;Store4
2924;Monday;1;Store2
2925;Saturday;15;Store1
2926;Saturday;14;Store2
2927;Saturday;12;Store3
2928;Saturday;15;Store4
2929;Sunday;11;Store1
2930;Sunday;11;Store2
2931;Sunday;8;Store3
2932;Sunday;10;Store4
2933;Monday;20;Store1
2934;Monday;9;Store2
2935;Monday;12;Store3
2936;Monday;14;Store4
2937;Tuesday;16;Store1
2938;Tuesday;7;Store2
2939;Tuesday;17;Store3
2940;Tuesday;20;Store4
2941;Wednesday;13;Store1
2942;Wednesday;17;Store2
2943;Wednesday;7;Store3
2944;Wednesday;17;Store4
2945;Thursday;11;Store1
2946;Thursday;11;Store2
2947;Thursday;12;Store3
2948;Thursday;14;Store4
2949;Friday;25;Store1
2950;Friday;11;Store2
2951;Friday;16;Store3
2952;Friday;16;Store4
2953;Saturday;20;Store1
2954;Saturday;15;Store2
2955;Saturday;11;Store3
2956;Saturday;26;Store4
2957;Sunday;20;Store1
2958;Sunday;10;Store2
2959;Sunday;13;Store3
2960;Sunday;15;Store4
2961;Monday;9;Store1
2962;Monday;7;Store2
2963;Monday;13;Store3
2964;Monday;12;Store4
2965;Tuesday;13;Store1
2966;Tuesday;7;Store2
2967;Tuesday;15;Store3
2968;Tuesday;19;Store4
2969;Wednesday;17;Store1
2970;Wednesday;6;Store2
2971;Wednesday;7;Store3
2972;Wednesday;13;Store4
2973;Thursday;22;Store1
2974;Thursday;13;Store2
2975;Thursday;7;Store3
2976;Thursday;16;Store4
2977;Friday;22;Store1
2978;Friday;12;Store2
2979;Friday;16;Store3
2980;Friday;24;Store4
2981;Saturday;16;Store1
2982;Saturday;8;Store2
2983;Saturday;13;Store3
2984;Saturday;21;Store4
2985;Sunday;20;Store1
2986;Sunday;3;Store2
2987;Sunday;16;Store3
2988;Sunday;12;Store4
2989;Monday;6;Store1
2990;Monday;6;Store2
2991;Monday;14;Store3
2992;Monday;20;Store4
2993;Tuesday;19;Store1
2994;Tuesday;13;Store2
2995;Tuesday;9;Store3
2996;Tuesday;14;Store4
2997;Wednesday;17;Store1
2998;Wednesday;12;Store2
2999;Wednesday;13;Store3
3000;Wednesday;15;Store4
3001;Thursday;18;Store1
3002;Thursday;11;Store2
3003;Thursday;11;Store3
3004;Thursday;28;Store4
3005;Friday;17;Store1
3006;Friday;16;Store2
3007;Friday;16;Store3
3008;Friday;20;Store4
3009;Saturday;16;Store1
3010;Saturday;11;Store2
3011;Saturday;19;Store3
3012;Saturday;22;Store4
3013;Sunday;17;Store1
3014;Sunday;7;Store2
3015;Sunday;9;Store3
3016;Sunday;9;Store4
3017;Monday;11;Store1
3018;Monday;9;Store2
3019;Monday;10;Store3
3020;Monday;11;Store4
3021;Tuesday;17;Store1
3022;Tuesday;9;Store2
3023;Tuesday;4;Store3
3024;Tuesday;23;Store4
3025;Wednesday;25;Store1
3026;Wednesday;15;Store2
3027;Wednesday;9;Store3
3028;Wednesday;18;Store4
3029;Thursday;12;Store1
3030;Thursday;5;Store2
3031;Thursday;15;Store3
3032;Thursday;24;Store4
3033;Friday;17;Store1
3034;Friday;10;Store2
3035;Friday;31;Store3
3036;Friday;28;Store4
3037;Saturday;15;Store1
3038;Saturday;15;Store2
3039;Saturday;12;Store3
3040;Saturday;19;Store4
3041;Sunday;14;Store1
3042;Sunday;10;Store2
3043;Sunday;29;Store3
3044;Sunday;17;Store4
3045;Monday;18;Store1
3046;Monday;7;Store2
3047;Monday;25;Store3
3048;Monday;11;Store4
3049;Monday;12;Store1
3050;Monday;11;Store2
3051;Monday;15;Store3
3052;Monday;12;Store4
3053;Saturday;16;Store1
3054;Saturday;10;Store2
3055;Saturday;5;Store3
